Subject,Position,Session,A_x,A_y,A_z,G_x,G_y,G_z,C_1,Workout
1,wrist,1,0.50095,0.498653,0.746568,0.499964,0.500307,0.500019,0.506452,Null
1,wrist,1,0.499797,0.49937,0.746881,0.499874,0.499988,0.500146,0.522168,Null
1,wrist,1,0.499882,0.498474,0.743877,0.499874,0.499813,0.500011,0.497679,Null
1,wrist,1,0.501283,0.499604,0.745265,0.499969,0.500099,0.500247,0.494513,Null
1,wrist,1,0.49967,0.499,0.745331,0.499916,0.500641,0.500086,0.497452,Null
1,wrist,1,0.499338,0.500769,0.745168,0.500468,0.500313,0.499866,0.495757,Null
1,wrist,1,0.499889,0.500274,0.74512,0.499733,0.499963,0.499964,0.481261,Null
1,wrist,1,0.497461,0.501288,0.747465,0.500226,0.50018,0.499947,0.475891,Null
1,wrist,1,0.499202,0.499483,0.745641,0.49975,0.499924,0.499962,0.513468,Null
1,wrist,1,0.499282,0.501624,0.746773,0.499937,0.499709,0.500003,0.479882,Null
1,wrist,1,0.501527,0.500584,0.744809,0.499765,0.499678,0.500398,0.473087,Null
1,wrist,1,0.499637,0.499792,0.744283,0.500006,0.499937,0.499691,0.508907,Null
1,wrist,1,0.500305,0.499486,0.743019,0.500108,0.499894,0.499841,0.500702,Null
1,wrist,1,0.499694,0.497113,0.746801,0.499924,0.499817,0.499683,0.474258,Null
1,wrist,1,0.50379,0.500543,0.744149,0.500023,0.500309,0.500246,0.461446,Null
1,wrist,1,0.498329,0.499927,0.745874,0.499451,0.500025,0.500078,0.485563,Null
1,wrist,1,0.500638,0.501003,0.745712,0.499901,0.500157,0.500558,0.455397,Null
1,wrist,1,0.500608,0.501,0.74497,0.500051,0.500269,0.49981,0.52128,Null
1,wrist,1,0.499868,0.499468,0.748542,0.50029,0.50018,0.499906,0.495913,Null
1,wrist,1,0.501456,0.49815,0.745069,0.499978,0.499272,0.499948,0.482803,Null
1,wrist,1,0.498684,0.500035,0.744856,0.500111,0.500064,0.499463,0.513906,Null
1,wrist,1,0.497614,0.501534,0.744391,0.500108,0.499699,0.500062,0.483245,Null
1,wrist,1,0.499667,0.501015,0.74672,0.500089,0.499963,0.500215,0.479918,Null
1,wrist,1,0.498368,0.499825,0.746971,0.499814,0.500026,0.500344,0.479653,Null
1,wrist,1,0.496783,0.501757,0.744186,0.499676,0.500272,0.500003,0.500469,Null
1,wrist,1,0.501025,0.49996,0.744304,0.500392,0.500073,0.499704,0.548389,Null
1,wrist,1,0.500182,0.4994,0.745479,0.49969,0.500136,0.500275,0.476088,Null
1,wrist,1,0.498892,0.501286,0.745007,0.50008,0.499992,0.499737,0.495548,Null
1,wrist,1,0.498264,0.500093,0.745649,0.500257,0.500133,0.500259,0.484182,Null
1,wrist,1,0.500575,0.49858,0.749007,0.499886,0.499937,0.499858,0.499319,Null
1,wrist,1,0.501525,0.500211,0.745868,0.499584,0.499941,0.500143,0.502405,Null
1,wrist,1,0.498954,0.499906,0.748415,0.500056,0.500198,0.50013,0.539812,Null
1,wrist,1,0.502056,0.499218,0.744774,0.500016,0.500118,0.49977,0.527605,Null
1,wrist,1,0.499898,0.499309,0.748089,0.499859,0.500196,0.500443,0.502054,Null
1,wrist,1,0.50111,0.501019,0.745182,0.499804,0.500101,0.500119,0.485684,Null
1,wrist,1,0.499312,0.501976,0.746758,0.499905,0.500177,0.499724,0.509306,Null
1,wrist,1,0.503287,0.502081,0.745829,0.500128,0.500076,0.499553,0.509627,Null
1,wrist,1,0.501984,0.499682,0.745655,0.500094,0.500255,0.50003,0.472915,Null
1,wrist,1,0.500488,0.50038,0.746676,0.50028,0.499652,0.499905,0.478992,Null
1,wrist,1,0.497116,0.500228,0.745849,0.499819,0.500295,0.500182,0.508556,Null
1,wrist,1,0.499676,0.50018,0.742854,0.4999,0.500163,0.500031,0.510994,Null
1,wrist,1,0.499474,0.502232,0.746895,0.499559,0.499968,0.499957,0.506781,Null
1,wrist,1,0.500613,0.498912,0.745023,0.499939,0.500498,0.49949,0.489318,Null
1,wrist,1,0.500526,0.500776,0.744832,0.499542,0.499851,0.499819,0.498271,Null
1,wrist,1,0.501265,0.500088,0.74593,0.499764,0.499888,0.500204,0.478904,Null
1,wrist,1,0.499296,0.501799,0.744562,0.499969,0.499767,0.499893,0.509114,Null
1,wrist,1,0.498939,0.499225,0.743473,0.500076,0.499774,0.499476,0.463978,Null
1,wrist,1,0.500797,0.503788,0.747643,0.499883,0.500265,0.500219,0.503822,Null
1,wrist,1,0.499663,0.498312,0.745512,0.499949,0.499868,0.499801,0.515697,Null
1,wrist,1,0.500478,0.500986,0.742294,0.499544,0.500249,0.499881,0.500531,Null
1,wrist,1,0.497732,0.498703,0.744738,0.499907,0.500286,0.499656,0.544624,Null
1,wrist,1,0.500793,0.498277,0.746627,0.500278,0.500057,0.499943,0.513475,Null
1,wrist,1,0.501071,0.500768,0.742163,0.500075,0.50021,0.499513,0.510497,Null
1,wrist,1,0.502483,0.501085,0.744778,0.500194,0.50014,0.499968,0.524647,Null
1,wrist,1,0.500966,0.498943,0.744803,0.500208,0.500015,0.50028,0.503617,Null
1,wrist,1,0.498311,0.500688,0.745519,0.500255,0.499903,0.499971,0.491779,Null
1,wrist,1,0.499705,0.502353,0.743505,0.499805,0.49945,0.500516,0.473395,Null
1,wrist,1,0.498146,0.501462,0.744457,0.500173,0.500087,0.499298,0.501107,Null
1,wrist,1,0.498803,0.499841,0.747206,0.499734,0.499704,0.500448,0.516459,Null
1,wrist,1,0.500146,0.500516,0.744788,0.49955,0.500204,0.500471,0.513225,Null
1,wrist,1,0.500211,0.499878,0.745665,0.499818,0.499509,0.500055,0.486983,Null
1,wrist,1,0.500297,0.498836,0.746397,0.500231,0.499495,0.500143,0.525966,Null
1,wrist,1,0.501597,0.498853,0.743723,0.500314,0.499833,0.500229,0.521691,Null
1,wrist,1,0.499886,0.500405,0.74295,0.499797,0.500034,0.499822,0.493472,Null
1,wrist,1,0.500605,0.502191,0.746219,0.499669,0.499589,0.499914,0.521623,Null
1,wrist,1,0.502442,0.499637,0.745646,0.500066,0.499602,0.499856,0.527664,Null
1,wrist,1,0.499904,0.500051,0.747012,0.500292,0.499907,0.500231,0.515377,Null
1,wrist,1,0.499722,0.500499,0.745742,0.49995,0.500274,0.500085,0.529175,Null
1,wrist,1,0.502188,0.499989,0.745286,0.500263,0.499849,0.499884,0.456213,Null
1,wrist,1,0.498304,0.500602,0.742546,0.500027,0.499973,0.499934,0.499396,Null
1,wrist,1,0.501325,0.499991,0.746328,0.500298,0.500266,0.500137,0.526853,Null
1,wrist,1,0.499477,0.499713,0.746129,0.500063,0.500754,0.500043,0.515609,Null
1,wrist,1,0.499218,0.499685,0.745997,0.500096,0.500001,0.500086,0.474666,Null
1,wrist,1,0.501003,0.502042,0.745136,0.500018,0.500206,0.499943,0.500652,Null
1,wrist,1,0.499537,0.50156,0.745448,0.500015,0.500437,0.500347,0.505199,Null
1,wrist,1,0.498921,0.500691,0.743555,0.499872,0.499699,0.499875,0.488201,Null
1,wrist,1,0.499494,0.50023,0.745017,0.49953,0.500238,0.499822,0.480805,Null
1,wrist,1,0.502476,0.500032,0.746284,0.499796,0.50008,0.500254,0.500504,Null
1,wrist,1,0.501062,0.500361,0.744314,0.499824,0.499936,0.500241,0.514158,Null
1,wrist,1,0.499972,0.499002,0.743872,0.50025,0.499838,0.500267,0.482465,Null
1,wrist,1,0.502631,0.499891,0.744241,0.499975,0.499927,0.499768,0.48959,Null
1,wrist,1,0.501059,0.498972,0.744787,0.499757,0.499315,0.499893,0.475796,Null
1,wrist,1,0.497479,0.500073,0.744423,0.5001,0.500154,0.49988,0.534287,Null
1,wrist,1,0.500102,0.498952,0.748027,0.499928,0.499821,0.500669,0.494564,Null
1,wrist,1,0.500991,0.499849,0.745303,0.500113,0.500309,0.500586,0.499301,Null
1,wrist,1,0.500305,0.500804,0.742376,0.500337,0.499752,0.50004,0.508722,Null
1,wrist,1,0.496518,0.497471,0.746087,0.499977,0.500066,0.500196,0.492697,Null
1,wrist,1,0.500999,0.498865,0.746957,0.500305,0.499982,0.49983,0.493051,Null
1,wrist,1,0.498841,0.499737,0.744615,0.499406,0.500713,0.500013,0.48246,Null
1,wrist,1,0.499037,0.498997,0.745096,0.500347,0.499708,0.500464,0.510014,Null
1,wrist,1,0.501343,0.500494,0.745205,0.499915,0.500284,0.500081,0.49522,Null
1,wrist,1,0.501749,0.501272,0.744209,0.49963,0.499953,0.499991,0.483042,Null
1,wrist,1,0.499467,0.500074,0.743711,0.499588,0.499865,0.500036,0.521418,Null
1,wrist,1,0.503502,0.500197,0.745065,0.499644,0.500304,0.500068,0.460902,Null
1,wrist,1,0.499606,0.500125,0.744432,0.499875,0.499756,0.499772,0.490425,Null
1,wrist,1,0.499319,0.499944,0.745121,0.500299,0.500272,0.500095,0.485426,Null
1,wrist,1,0.498471,0.499032,0.74476,0.499791,0.500001,0.500064,0.505419,Null
1,wrist,1,0.500516,0.499329,0.745094,0.499748,0.500028,0.500176,0.491761,Null
1,wrist,1,0.499026,0.501977,0.745943,0.500052,0.499917,0.500202,0.497032,Null
1,wrist,1,0.500869,0.499047,0.744901,0.500121,0.500396,0.499544,0.501137,Null
1,wrist,1,0.500283,0.500286,0.744031,0.499716,0.499901,0.500305,0.508762,Null
1,wrist,1,0.500779,0.499988,0.745137,0.500469,0.500094,0.499952,0.492595,Null
1,wrist,1,0.501186,0.500795,0.746487,0.499854,0.500475,0.499902,0.516767,Null
1,wrist,1,0.50137,0.499748,0.746376,0.500035,0.500497,0.499905,0.482582,Null
1,wrist,1,0.500212,0.498908,0.743673,0.500156,0.499986,0.50006,0.477091,Null
1,wrist,1,0.50155,0.497125,0.745329,0.500012,0.500032,0.50012,0.527075,Null
1,wrist,1,0.501138,0.502005,0.746333,0.499862,0.499925,0.499524,0.512871,Null
1,wrist,1,0.500183,0.50048,0.746699,0.500215,0.500488,0.49966,0.487464,Null
1,wrist,1,0.498695,0.499381,0.747178,0.499916,0.500296,0.50017,0.512217,Null
1,wrist,1,0.499694,0.498795,0.745037,0.500274,0.500122,0.500285,0.497732,Null
1,wrist,1,0.500403,0.498867,0.744998,0.500259,0.499827,0.49996,0.464291,Null
1,wrist,1,0.501578,0.500911,0.743871,0.499505,0.500081,0.499972,0.503612,Null
1,wrist,1,0.500905,0.500417,0.744172,0.499849,0.499915,0.499325,0.50554,Null
1,wrist,1,0.499249,0.501219,0.745663,0.500364,0.500102,0.500007,0.495408,Null
1,wrist,1,0.500158,0.499417,0.743604,0.49962,0.499991,0.500209,0.465235,Null
1,wrist,1,0.499869,0.500381,0.74651,0.499356,0.499992,0.499398,0.489764,Null
1,wrist,1,0.498337,0.499962,0.745704,0.500033,0.50013,0.4996,0.510953,Null
1,wrist,1,0.502563,0.499747,0.745773,0.499972,0.49987,0.499806,0.482681,Null
1,wrist,1,0.500199,0.499462,0.746374,0.500006,0.499811,0.499915,0.504107,Null
1,wrist,1,0.500972,0.497912,0.746378,0.500191,0.500124,0.49981,0.483098,Null
1,wrist,1,0.499251,0.498468,0.744922,0.499842,0.500616,0.499868,0.488975,Null
1,wrist,1,0.501548,0.500574,0.743859,0.500068,0.499982,0.500063,0.529455,Null
1,wrist,1,0.502196,0.499513,0.746411,0.499395,0.500349,0.499805,0.504801,Null
1,wrist,1,0.500502,0.499403,0.745118,0.499998,0.499959,0.499697,0.529441,Null
1,wrist,1,0.498596,0.49962,0.746555,0.499739,0.500201,0.499703,0.502548,Null
1,wrist,1,0.500449,0.501374,0.745256,0.499917,0.499634,0.500063,0.504324,Null
1,wrist,1,0.498772,0.501141,0.744529,0.500331,0.50002,0.500136,0.505116,Null
1,wrist,1,0.500447,0.500189,0.746064,0.500011,0.500148,0.499843,0.512339,Null
1,wrist,1,0.500856,0.50082,0.744845,0.499779,0.500037,0.500469,0.50347,Null
1,wrist,1,0.500903,0.497908,0.743921,0.499735,0.500364,0.499872,0.514602,Null
1,wrist,1,0.500399,0.501863,0.745873,0.500149,0.499734,0.500465,0.511152,Null
1,wrist,1,0.500249,0.500857,0.746562,0.499807,0.500028,0.499994,0.52083,Null
1,wrist,1,0.500109,0.497202,0.746611,0.500674,0.499936,0.499845,0.492847,Null
1,wrist,1,0.499811,0.503181,0.746724,0.499843,0.499821,0.499532,0.501806,Null
1,wrist,1,0.500255,0.499812,0.748703,0.500364,0.499758,0.500109,0.503148,Null
1,wrist,1,0.497871,0.50295,0.745812,0.499996,0.50016,0.499894,0.504675,Null
1,wrist,1,0.499724,0.499484,0.746143,0.499973,0.499849,0.500295,0.52542,Null
1,wrist,1,0.500988,0.500723,0.744705,0.499835,0.499162,0.499706,0.484905,Null
1,wrist,1,0.499911,0.500958,0.745458,0.500023,0.499943,0.499876,0.523675,Null
1,wrist,1,0.500315,0.498674,0.745058,0.500002,0.499742,0.499873,0.514073,Null
1,wrist,1,0.500753,0.497909,0.746243,0.500049,0.499538,0.499608,0.498448,Null
1,wrist,1,0.500092,0.501805,0.74682,0.500294,0.499581,0.500072,0.505716,Null
1,wrist,1,0.501037,0.49821,0.743835,0.500021,0.499786,0.50021,0.46822,Null
1,wrist,1,0.500466,0.498568,0.747703,0.499943,0.499997,0.499788,0.510119,Null
1,wrist,1,0.499523,0.500184,0.747524,0.499958,0.500047,0.499783,0.500004,Null
1,wrist,1,0.498394,0.502823,0.74335,0.499512,0.500159,0.499583,0.524437,Null
1,wrist,1,0.499401,0.498257,0.747645,0.499795,0.500184,0.499971,0.517751,Null
1,wrist,1,0.501821,0.499349,0.743415,0.500042,0.499861,0.499903,0.484439,Null
1,wrist,1,0.499443,0.499164,0.743867,0.500055,0.499988,0.499948,0.494964,Null
1,wrist,1,0.500284,0.498768,0.746075,0.499948,0.499917,0.499836,0.531422,Null
1,wrist,1,0.497998,0.500281,0.745307,0.500131,0.50038,0.499898,0.508322,Null
1,wrist,1,0.497895,0.498828,0.744926,0.50022,0.500146,0.499492,0.480736,Null
1,wrist,1,0.500053,0.499889,0.744873,0.499992,0.500139,0.499772,0.515194,Null
1,wrist,1,0.497669,0.499305,0.747365,0.499846,0.49973,0.499538,0.52817,Null
1,wrist,1,0.500382,0.499611,0.745599,0.500108,0.499865,0.49995,0.460669,Null
1,wrist,1,0.499437,0.498222,0.745799,0.500244,0.499906,0.500404,0.49122,Null
1,wrist,1,0.497722,0.49984,0.745152,0.499762,0.499767,0.499885,0.501302,Null
1,wrist,1,0.499331,0.499915,0.746206,0.500105,0.499873,0.499673,0.484809,Null
1,wrist,1,0.501666,0.501248,0.744438,0.500131,0.499713,0.500492,0.496997,Null
1,wrist,1,0.498296,0.500821,0.743543,0.499719,0.499994,0.499948,0.518378,Null
1,wrist,1,0.49844,0.500437,0.745306,0.499995,0.500154,0.500072,0.511614,Null
1,wrist,1,0.496762,0.500761,0.744657,0.500157,0.499999,0.499826,0.511231,Null
1,wrist,1,0.50022,0.500695,0.747704,0.500204,0.499768,0.49983,0.486995,Null
1,wrist,1,0.500088,0.497896,0.74635,0.499983,0.500013,0.500148,0.510039,Null
1,wrist,1,0.500172,0.499614,0.744717,0.500358,0.499897,0.500302,0.494179,Null
1,wrist,1,0.500579,0.50068,0.744501,0.500036,0.499819,0.500217,0.491654,Null
1,wrist,1,0.499993,0.501317,0.743202,0.499848,0.499985,0.500077,0.495054,Null
1,wrist,1,0.4999,0.498206,0.745088,0.499944,0.500019,0.499861,0.480742,Null
1,wrist,1,0.499781,0.500109,0.741989,0.499597,0.500258,0.499906,0.493035,Null
1,wrist,1,0.500424,0.498456,0.744223,0.49957,0.499876,0.500275,0.497822,Null
1,wrist,1,0.500056,0.498822,0.747588,0.499916,0.500047,0.500076,0.487473,Null
1,wrist,1,0.499797,0.500003,0.746872,0.500398,0.499942,0.500019,0.503524,Null
1,wrist,1,0.500043,0.500635,0.746598,0.50027,0.500209,0.500281,0.5041,Null
1,wrist,1,0.498603,0.501352,0.744965,0.500365,0.50013,0.500218,0.522697,Null
1,wrist,1,0.500273,0.499915,0.747878,0.499671,0.500713,0.499765,0.523238,Null
1,wrist,1,0.49939,0.500557,0.746052,0.499959,0.500166,0.499676,0.484226,Null
1,wrist,1,0.499774,0.498421,0.743965,0.500278,0.500534,0.499652,0.500275,Null
1,wrist,1,0.498708,0.499991,0.746251,0.499685,0.550183,0.500308,0.481481,ArmCurl
1,wrist,1,0.521684,0.499295,0.745042,0.499868,0.547515,0.499886,0.511078,ArmCurl
1,wrist,1,0.544454,0.501353,0.744402,0.500165,0.540502,0.500371,0.503076,ArmCurl
1,wrist,1,0.562391,0.498658,0.743874,0.499718,0.529568,0.499803,0.498697,ArmCurl
1,wrist,1,0.572118,0.499743,0.745142,0.500012,0.515538,0.499686,0.526562,ArmCurl
1,wrist,1,0.575081,0.498609,0.742785,0.500092,0.500185,0.499917,0.477328,ArmCurl
1,wrist,1,0.571249,0.501021,0.74357,0.499629,0.484685,0.500411,0.52242,ArmCurl
1,wrist,1,0.559206,0.502109,0.740842,0.4999,0.470498,0.499794,0.470925,ArmCurl
1,wrist,1,0.54476,0.500287,0.745865,0.500358,0.45929,0.499889,0.509933,ArmCurl
1,wrist,1,0.522245,0.500909,0.746611,0.500043,0.452546,0.500336,0.513902,ArmCurl
1,wrist,1,0.49961,0.502204,0.74396,0.500262,0.450032,0.50018,0.522413,ArmCurl
1,wrist,1,0.476429,0.500736,0.745659,0.499971,0.452513,0.500067,0.522352,ArmCurl
1,wrist,1,0.456777,0.500218,0.745326,0.500057,0.459753,0.499909,0.491838,ArmCurl
1,wrist,1,0.437258,0.499998,0.746017,0.500428,0.470728,0.499572,0.492345,ArmCurl
1,wrist,1,0.430387,0.49997,0.747434,0.500277,0.484787,0.500145,0.497126,ArmCurl
1,wrist,1,0.426967,0.497546,0.746476,0.500441,0.499806,0.499849,0.542073,ArmCurl
1,wrist,1,0.43006,0.498985,0.746964,0.500173,0.515993,0.500056,0.490061,ArmCurl
1,wrist,1,0.43873,0.499286,0.743609,0.500175,0.529671,0.500197,0.509721,ArmCurl
1,wrist,1,0.455756,0.499604,0.745744,0.49973,0.540567,0.499748,0.506236,ArmCurl
1,wrist,1,0.476414,0.500684,0.745676,0.499935,0.547637,0.499552,0.478046,ArmCurl
1,wrist,1,0.501182,0.49837,0.744586,0.500204,0.550255,0.50008,0.507856,ArmCurl
1,wrist,1,0.523007,0.500999,0.746263,0.50025,0.547432,0.500665,0.509346,ArmCurl
1,wrist,1,0.542881,0.499588,0.747384,0.500078,0.540817,0.500019,0.527486,ArmCurl
1,wrist,1,0.562056,0.501326,0.746634,0.499885,0.529105,0.500037,0.534714,ArmCurl
1,wrist,1,0.570539,0.499423,0.745879,0.500431,0.515376,0.499994,0.512388,ArmCurl
1,wrist,1,0.575465,0.500242,0.744086,0.499713,0.500146,0.499848,0.487961,ArmCurl
1,wrist,1,0.571264,0.500463,0.745035,0.499555,0.484729,0.49999,0.509452,ArmCurl
1,wrist,1,0.560358,0.500002,0.745789,0.500165,0.470328,0.499936,0.50715,ArmCurl
1,wrist,1,0.544312,0.501256,0.746528,0.500247,0.459489,0.499964,0.517109,ArmCurl
1,wrist,1,0.523198,0.499755,0.745494,0.50011,0.452689,0.500241,0.481174,ArmCurl
1,wrist,1,0.500265,0.500804,0.744197,0.500155,0.450052,0.50036,0.499737,ArmCurl
1,wrist,1,0.478103,0.499321,0.744816,0.500259,0.452554,0.500204,0.508724,ArmCurl
1,wrist,1,0.453761,0.499284,0.743362,0.500192,0.46007,0.499628,0.502804,ArmCurl
1,wrist,1,0.438866,0.500777,0.745198,0.500033,0.470782,0.499991,0.459586,ArmCurl
1,wrist,1,0.429723,0.501348,0.745109,0.500292,0.484733,0.500052,0.529892,ArmCurl
1,wrist,1,0.424149,0.499031,0.746538,0.499937,0.50028,0.499778,0.505247,ArmCurl
1,wrist,1,0.428053,0.49959,0.748072,0.500278,0.515454,0.499702,0.519995,ArmCurl
1,wrist,1,0.437834,0.500349,0.746376,0.499771,0.529577,0.500112,0.509551,ArmCurl
1,wrist,1,0.455835,0.501211,0.745529,0.499859,0.540512,0.499885,0.477109,ArmCurl
1,wrist,1,0.474587,0.497921,0.746122,0.500035,0.547413,0.499987,0.511641,ArmCurl
1,wrist,1,0.500146,0.50107,0.744821,0.500065,0.549967,0.500494,0.47108,ArmCurl
1,wrist,1,0.523123,0.499115,0.747435,0.49992,0.547532,0.500103,0.516228,ArmCurl
1,wrist,1,0.541578,0.501377,0.745036,0.499782,0.540036,0.499564,0.496226,ArmCurl
1,wrist,1,0.561875,0.500588,0.744938,0.49988,0.529674,0.49943,0.494901,ArmCurl
1,wrist,1,0.572919,0.500538,0.746668,0.500011,0.515521,0.500002,0.462506,ArmCurl
1,wrist,1,0.574992,0.500615,0.74536,0.499522,0.500035,0.499875,0.498423,ArmCurl
1,wrist,1,0.569891,0.501537,0.746166,0.49999,0.484759,0.500102,0.493497,ArmCurl
1,wrist,1,0.562522,0.499372,0.74453,0.500186,0.470377,0.500042,0.483186,ArmCurl
1,wrist,1,0.544038,0.50188,0.744267,0.500136,0.45904,0.499772,0.506833,ArmCurl
1,wrist,1,0.522779,0.499098,0.745081,0.499797,0.452787,0.500059,0.496764,ArmCurl
1,wrist,1,0.500642,0.500405,0.74397,0.500316,0.450042,0.500232,0.468737,ArmCurl
1,wrist,1,0.479093,0.500753,0.745337,0.499761,0.452522,0.499619,0.50316,ArmCurl
1,wrist,1,0.455744,0.500772,0.747342,0.500096,0.45881,0.499842,0.517824,ArmCurl
1,wrist,1,0.437429,0.499828,0.744261,0.500472,0.470626,0.500044,0.490531,ArmCurl
1,wrist,1,0.428026,0.500391,0.745149,0.499575,0.484381,0.500014,0.513541,ArmCurl
1,wrist,1,0.424658,0.498186,0.745428,0.499683,0.499719,0.500088,0.51334,ArmCurl
1,wrist,1,0.426927,0.501016,0.747778,0.500239,0.515453,0.500222,0.51672,ArmCurl
1,wrist,1,0.440278,0.499178,0.745695,0.500056,0.52965,0.5002,0.475799,ArmCurl
1,wrist,1,0.456512,0.500229,0.745528,0.50028,0.540379,0.499779,0.504336,ArmCurl
1,wrist,1,0.478058,0.49908,0.744966,0.500176,0.547214,0.499662,0.505637,ArmCurl
1,wrist,1,0.498587,0.502332,0.747177,0.499985,0.550209,0.500132,0.511544,ArmCurl
1,wrist,1,0.523597,0.498499,0.744149,0.499812,0.547631,0.499926,0.523777,ArmCurl
1,wrist,1,0.545609,0.500313,0.744727,0.499777,0.540694,0.500133,0.484682,ArmCurl
1,wrist,1,0.55844,0.499942,0.743996,0.500126,0.529304,0.500097,0.514666,ArmCurl
1,wrist,1,0.573478,0.50016,0.745277,0.499575,0.515398,0.499858,0.51712,ArmCurl
1,wrist,1,0.575117,0.49977,0.74429,0.500094,0.499688,0.499726,0.528557,ArmCurl
1,wrist,1,0.571628,0.500859,0.746903,0.50009,0.48465,0.499558,0.49918,ArmCurl
1,wrist,1,0.560856,0.500389,0.745349,0.499793,0.47081,0.50035,0.523972,ArmCurl
1,wrist,1,0.541821,0.500429,0.744769,0.499738,0.459529,0.500015,0.47989,ArmCurl
1,wrist,1,0.523889,0.500632,0.743405,0.499887,0.452044,0.500156,0.496219,ArmCurl
1,wrist,1,0.49994,0.499183,0.744986,0.499677,0.449831,0.50005,0.510065,ArmCurl
1,wrist,1,0.478586,0.501214,0.747188,0.499881,0.45246,0.499877,0.53736,ArmCurl
1,wrist,1,0.456356,0.500368,0.746352,0.499576,0.459524,0.499836,0.535006,ArmCurl
1,wrist,1,0.439883,0.50169,0.743952,0.50029,0.470795,0.499864,0.512614,ArmCurl
1,wrist,1,0.429972,0.502489,0.745902,0.500344,0.484492,0.500059,0.500907,ArmCurl
1,wrist,1,0.427272,0.500162,0.745801,0.500285,0.499961,0.49963,0.481145,ArmCurl
1,wrist,1,0.429097,0.498892,0.745047,0.499905,0.515342,0.500241,0.49996,ArmCurl
1,wrist,1,0.440531,0.501542,0.746156,0.499978,0.529613,0.500185,0.508441,ArmCurl
1,wrist,1,0.455701,0.501045,0.745268,0.49997,0.540439,0.500043,0.479971,ArmCurl
1,wrist,1,0.475873,0.500346,0.744072,0.500031,0.547583,0.500351,0.474791,ArmCurl
1,wrist,1,0.498227,0.499773,0.743952,0.500121,0.55056,0.500126,0.488443,ArmCurl
1,wrist,1,0.522598,0.500862,0.745003,0.500135,0.547505,0.500167,0.504496,ArmCurl
1,wrist,1,0.545371,0.502432,0.744586,0.499841,0.540639,0.499877,0.498801,ArmCurl
1,wrist,1,0.560644,0.499515,0.747283,0.500233,0.529086,0.500328,0.514804,ArmCurl
1,wrist,1,0.569272,0.501794,0.744804,0.5002,0.515612,0.500137,0.47869,ArmCurl
1,wrist,1,0.575489,0.501727,0.747946,0.499876,0.49971,0.500325,0.48431,ArmCurl
1,wrist,1,0.569674,0.4999,0.746533,0.499951,0.484889,0.500108,0.536184,ArmCurl
1,wrist,1,0.558669,0.500913,0.745143,0.500517,0.470365,0.499857,0.512395,ArmCurl
1,wrist,1,0.546549,0.499968,0.74335,0.499922,0.459708,0.500456,0.443628,ArmCurl
1,wrist,1,0.522077,0.498828,0.744895,0.500236,0.451915,0.500107,0.487762,ArmCurl
1,wrist,1,0.499427,0.49949,0.745718,0.499579,0.45005,0.499804,0.44633,ArmCurl
1,wrist,1,0.478402,0.501173,0.743758,0.500069,0.452813,0.49997,0.493767,ArmCurl
1,wrist,1,0.456995,0.498802,0.744565,0.499507,0.459543,0.499741,0.491243,ArmCurl
1,wrist,1,0.437927,0.498838,0.746781,0.499852,0.470238,0.499705,0.492731,ArmCurl
